sampleid	FactorValueTime	ParameterValueSampleCollectionTimepoint	ParameterValueSampleStorageTemperature
SRR8985933	preflight	240daysbeforelaunch	80degreeCelsius
SRR8985934	preflight	240daysbeforelaunch	80degreeCelsius
SRR8985931	preflight	180daysbeforelaunch	80degreeCelsius
SRR8985932	preflight	90daysbeforelaunch	80degreeCelsius
SRR8985929	preflight	60daysbeforelaunch	80degreeCelsius
SRR8985930	duringflight	7daysonISS	80degreeCelsius
SRR8985927	duringflight	90daysonISS	80degreeCelsius
SRR8985928	duringflight	14daysbeforereturn	80degreeCelsius
SRR8985935	duringflight	1daybeforereturn	80degreeCelsius
SRR8985936	postflight	landingday	80degreeCelsius
SRR8985894	postflight	landingday	80degreeCelsius
SRR8985895	postflight	18daysafterreturn	80degreeCelsius
SRR8985892	postflight	33daysafterreturn	80degreeCelsius
SRR8985893	postflight	63daysafterreturn	80degreeCelsius
SRR8985890	postflight	180daysafterreturn	80degreeCelsius
SRR8985891	preflight	180daysbeforelaunch	80degreeCelsius
SRR8985888	preflight	150daysbeforelaunch	80degreeCelsius
SRR8985889	preflight	60daysbeforelaunch	80degreeCelsius
SRR8985886	duringflight	10daysonISS	80degreeCelsius
SRR8985887	duringflight	90daysonISS	80degreeCelsius
SRR8985954	postflight	1dayafterreturn	80degreeCelsius
SRR8985953	postflight	18daysafterreturn	80degreeCelsius
SRR8985952	postflight	33daysafterreturn	80degreeCelsius
SRR8985951	postflight	60daysafterreturn	80degreeCelsius
SRR8985950	preflight	180daysbeforelaunch	80degreeCelsius
SRR8985949	preflight	60daysbeforelaunch	80degreeCelsius
SRR8985948	duringflight	10daysonISS	80degreeCelsius
SRR8985947	duringflight	90daysonISS	80degreeCelsius
SRR8985956	postflight	landingday	80degreeCelsius
SRR8985955	postflight	18daysafterreturn	80degreeCelsius
SRR8985957	postflight	33daysafterreturn	80degreeCelsius
SRR8985958	postflight	63daysafterreturn	80degreeCelsius
SRR8985959	preflight	180daysbeforelaunch	80degreeCelsius
SRR8985960	preflight	90daysbeforelaunch	80degreeCelsius
SRR8985961	preflight	60daysbeforelaunch	80degreeCelsius
SRR8985962	duringflight	10daysonISS	80degreeCelsius
SRR8985963	duringflight	90daysonISS	80degreeCelsius
SRR8985964	duringflight	1daybeforereturn	80degreeCelsius
SRR8985965	postflight	landingday	80degreeCelsius
SRR8985966	postflight	18daysafterreturn	80degreeCelsius
SRR8985918	postflight	30daysafterreturn	80degreeCelsius
SRR8985917	postflight	63daysafterreturn	80degreeCelsius
SRR8985920	postflight	180daysafterreturn	80degreeCelsius
SRR8985919	preflight	120daysbeforelaunch	80degreeCelsius
SRR8985922	preflight	120daysbeforelaunch	80degreeCelsius
SRR8985921	preflight	90daysbeforelaunch	80degreeCelsius
SRR8985924	preflight	60daysbeforelaunch	80degreeCelsius
SRR8985923	duringflight	10daysonISS	80degreeCelsius
SRR8985926	duringflight	90daysonISS	80degreeCelsius
SRR8985925	preflight	14daysbeforereturn	80degreeCelsius
SRR8985939	postflight	landingday	80degreeCelsius
SRR8985940	postflight	30daysafterreturn	80degreeCelsius
SRR8985937	postflight	60daysafterreturn	80degreeCelsius
SRR8985938	postflight	60daysafterreturn	80degreeCelsius
SRR8985943	postflight	180daysafterreturn	80degreeCelsius
SRR8985944	preflight	90daysbeforelaunch	80degreeCelsius
SRR8985941	duringflight	10daysonISS	80degreeCelsius
SRR8985942	duringflight	90daysonISS	80degreeCelsius
SRR8985945	preflight	14daysbeforereturn	80degreeCelsius
SRR8985946	postflight	landingday	80degreeCelsius
SRR8985902	postflight	60daysafterreturn	80degreeCelsius
SRR8985901	postflight	180daysafterreturn	80degreeCelsius
SRR8985900	preflight	180daysbeforelaunch	80degreeCelsius
SRR8985899	preflight	120daysbeforelaunch	80degreeCelsius
SRR8985906	preflight	90daysbeforelaunch	80degreeCelsius
SRR8985905	preflight	60daysbeforelaunch	80degreeCelsius
SRR8985904	duringflight	10daysonISS	80degreeCelsius
SRR8985903	duringflight	90daysonISS	80degreeCelsius
SRR8985898	preflight	14daysbeforereturn	80degreeCelsius
SRR8985897	postflight	landingday	80degreeCelsius
SRR8985911	postflight	30daysafterreturn	80degreeCelsius
SRR8985912	postflight	60daysafterreturn	80degreeCelsius
SRR8985913	postflight	180daysafterreturn	80degreeCelsius
SRR8985914	preflight	60daysbeforelaunch	80degreeCelsius
SRR8985907	duringflight	10daysonISS	80degreeCelsius
SRR8985908	duringflight	90daysonISS	80degreeCelsius
SRR8985909	postflight	landingday	80degreeCelsius
SRR8985910	postflight	180daysafterreturn	80degreeCelsius
SRR8985915	postflight	33daysafterreturn	80degreeCelsius
SRR8985916	postflight	63daysafterreturn	80degreeCelsius
SRR8985972	preflight	90daysbeforelaunch	80degreeCelsius
SRR8985971	duringflight	10daysonISS	80degreeCelsius
SRR8985974	duringflight	90daysonISS	80degreeCelsius
SRR8985973	postflight	1dayafterreturn	80degreeCelsius
SRR8985968	postflight	18daysafterreturn	80degreeCelsius
SRR8985967	postflight	60daysafterreturn	80degreeCelsius
SRR8985970	preflight	60daysbeforelaunch	80degreeCelsius
SRR8985969	duringflight	90daysonISS	80degreeCelsius
SRR8985976	postflight	180daysafterreturn	80degreeCelsius
SRR8985975	notapplicable	notapplicable	80degreeCelsius
SRR8985896	notapplicable	notapplicable	80degreeCelsius
